Ano,"PRECIPITACAO TOTAL, HORARIO(mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)","PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB)",PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB),PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB),RADIACAO GLOBAL(Kj/m²),TEMPERATURA DA CPU DA ESTACAO(°C),"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TEMPERATURA DO PONTO DE ORVALHO(°C),TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C),TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C),TENSAO DA BATERIA DA ESTACAO(V),UMIDADE REL. MAX. NA HORA ANT. (AUT)(%),UMIDADE REL. MIN. NA HORA ANT. (AUT)(%),"UMIDADE RELATIVA DO AR, HORARIA(%)","VENTO, DIRECAO HORARIA (gr)(° (gr))","VENTO, RAJADA MAXIMA(m/s)","VENTO, VELOCIDADE HORARIA(m/s)",
2006,0.10,682.34,266.43,682.54,682.16,418.47,0.00,14.35,10.67,14.72,13.99,10.80,10.28,0.00,55.35,51.71,54.64,118.94,3.98,1.67,0.00
2007,0.14,787.44,863.73,787.67,787.25,557.25,16.61,17.21,11.96,17.64,16.79,12.34,11.59,9.26,62.15,57.61,59.88,135.73,4.33,1.77,0.00
2008,0.14,779.65,852.74,779.85,779.43,522.35,18.21,16.41,11.48,16.82,16.02,11.84,11.14,10.38,62.02,57.80,59.91,131.03,4.28,1.72,0.00
2009,0.18,786.86,863.13,787.07,786.65,529.43,19.10,17.05,12.48,17.47,16.65,12.85,12.13,10.86,64.41,60.20,62.34,135.74,4.72,1.79,0.00
2010,0.16,787.60,848.25,787.81,787.39,567.22,18.99,16.65,11.66,17.41,16.55,12.09,11.24,10.84,62.36,57.76,60.07,129.39,4.76,1.85,0.00
2011,0.14,787.18,863.58,787.39,786.97,559.47,18.83,16.77,12.02,17.23,16.33,12.43,11.60,10.79,64.79,59.91,62.38,127.43,4.61,1.73,0.00
2012,0.15,787.64,863.94,787.85,787.43,584.76,18.87,17.18,12.13,17.65,16.74,12.56,11.71,10.95,63.40,58.70,61.07,130.59,4.30,1.51,0.00
2013,0.14,787.54,863.98,787.75,787.33,539.71,18.30,16.72,11.97,17.17,16.30,12.39,11.58,10.93,64.45,60.01,62.25,130.00,4.50,1.59,0.00
2014,0.11,770.90,845.40,771.12,770.71,600.27,19.02,17.40,11.38,17.88,16.94,11.85,10.94,10.72,57.97,53.36,55.68,122.69,4.51,1.63,0.00
2015,0.17,787.88,864.01,788.10,787.67,554.16,19.37,17.79,12.29,18.25,17.36,12.71,11.89,10.94,60.91,56.82,58.88,134.33,4.50,1.57,0.00
2016,0.14,782.76,858.61,782.98,782.56,632.57,18.55,17.02,11.48,17.48,16.58,11.89,11.11,10.88,59.95,55.74,57.85,130.68,4.57,1.62,0.00
2017,0.15,785.28,861.32,785.45,785.04,639.45,18.82,17.23,11.42,17.69,16.79,11.84,11.02,10.86,59.34,55.10,57.24,125.74,4.69,1.75,0.00
2018,0.10,787.82,864.14,788.03,787.62,626.25,18.74,17.17,11.70,17.63,16.74,12.08,11.33,10.93,60.50,56.44,58.50,129.30,4.57,1.67,0.00
2019,0.16,788.12,864.28,788.33,787.92,637.23,19.34,17.79,11.95,18.27,17.33,12.39,11.55,10.91,59.63,55.35,57.50,128.33,4.42,1.47,0.00
2020,0.16,787.95,864.25,788.16,787.74,658.49,18.85,17.27,11.23,17.77,16.80,11.66,10.82,10.91,58.98,54.63,56.81,131.59,4.53,1.57,0.00
2021,0.11,787.62,863.97,787.83,787.42,656.75,18.72,17.06,11.23,17.55,16.58,11.68,10.81,10.94,59.91,55.44,57.67,131.83,3.01,0.98,0.00
2022,0.13,787.53,863.91,787.74,787.32,630.75,18.61,16.91,11.36,17.39,16.46,11.79,10.96,10.97,60.68,56.32,58.51,139.47,4.60,1.60,0.00
